round,snapshot_version,phase,input_atom,atom,category,sti,lti,in_af,af_rank,directly_stimulated,entered_via_diffusion,bank_sti,bank_lti,total_atom_sti,total_atom_lti,total_sti_plus_bank,total_lti_plus_bank
0,0,initial,,abamectin,bridge,1,1,0,,0,0,100000,100000,41.00000000000004,41.00000000000004,100041,100041
0,0,initial,,acetamiprid,bridge,1,1,0,,0,0,100000,100000,41.00000000000004,41.00000000000004,100041,100041
0,0,initial,,aconite,poison,1,1,1,7,0,0,100000,100000,41.00000000000004,41.00000000000004,100041,100041
0,0,initial,,aflatoxin,poison,1,1,0,,0,0,100000,100000,41.00000000000004,41.00000000000004,100041,100041
0,0,initial,,alachlor,bridge,1,1,0,,0,0,100000,100000,41.00000000000004,41.00000000000004,100041,100041
0,0,initial,,alcohol,poison,1,1,1,8,0,0,100000,100000,41.00000000000004,41.00000000000004,100041,100041
0,0,initial,,aldicarb,bridge,1,1,0,,0,0,100000,100000,41.00000000000004,41.00000000000004,100041,100041
0,0,initial,,aldrin,bridge,1,1,1,3,0,0,100000,100000,41.00000000000004,41.00000000000004,100041,100041
0,0,initial,,ammonia,poison,1,1,1,9,0,0,100000,100000,41.00000000000004,41.00000000000004,100041,100041
0,0,initial,,ant,insect,1,1,1,1,0,0,100000,100000,41.00000000000004,41.00000000000004,100041,100041
0,0,initial,,aphid,insect,1,1,1,2,0,0,100000,100000,41.00000000000004,41.00000000000004,100041,100041
0,0,initial,,aphid-fluvalinate,insect,1,1,0,,0,0,100000,100000,41.00000000000004,41.00000000000004,100041,100041
0,0,initial,,armyworm-bendiocarb,insect,1,1,0,,0,0,100000,100000,41.00000000000004,41.00000000000004,100041,100041
0,0,initial,,armyworm-ethion,insect,1,1,0,,0,0,100000,100000,41.00000000000004,41.00000000000004,100041,100041
0,0,initial,,armyworm-fosmethilan,insect,1,1,0,,0,0,100000,100000,41.00000000000004,41.00000000000004,100041,100041
0,0,initial,,arsenic,poison,1,1,1,10,0,0,100000,100000,41.00000000000004,41.00000000000004,100041,100041
0,0,initial,,aspirin,poison,1,1,1,11,0,0,100000,100000,41.00000000000004,41.00000000000004,100041,100041
0,0,initial,,azoxystrobin,poison,1,1,0,,0,0,100000,100000,41.00000000000004,41.00000000000004,100041,100041
0,0,initial,,beanpodborer,insect,1,1,0,,0,0,100000,100000,41.00000000000004,41.00000000000004,100041,100041
0,0,initial,,beetwebworm,insect,1,1,0,,0,0,100000,100000,41.00000000000004,41.00000000000004,100041,100041
0,0,initial,,benazolin,bridge,1,1,0,,0,0,100000,100000,41.00000000000004,41.00000000000004,100041,100041
0,0,initial,,bendiocarb,bridge,1,1,0,,0,0,100000,100000,41.00000000000004,41.00000000000004,100041,100041
0,0,initial,,botulinum,poison,1,1,0,,0,0,100000,100000,41.00000000000004,41.00000000000004,100041,100041
